zip_code,city,lat,long,pop,state,state_name
01984,WENHAM,42.60166,-70.878622,4148,MA,Massachusetts
01985,WEST NEWBURY,42.794865,-70.977811,3421,MA,Massachusetts
02019,BELLINGHAM,42.074573,-71.476829,14873,MA,Massachusetts
02021,CANTON,42.164454,-71.135536,18530,MA,Massachusetts
02025,COHASSET,42.239484,-70.812788,7075,MA,Massachusetts
02026,DEDHAM,42.243685,-71.163741,23782,MA,Massachusetts
02030,DOVER,42.236233,-71.285363,4915,MA,Massachusetts
02032,EAST WALPOLE,42.15324,-71.2179,3844,MA,Massachusetts
02035,FOXBORO,42.064938,-71.244127,14293,MA,Massachusetts
02038,FRANKLIN,42.09347,-71.405786,22128,MA,Massachusetts
02043,HINGHAM,42.224485,-70.891051,19821,MA,Massachusetts
02045,HULL,42.285346,-70.875442,10466,MA,Massachusetts
02048,MANSFIELD,42.021238,-71.217775,16676,MA,Massachusetts
02050,MARSHFIELD,42.106177,-70.69931,21782,MA,Massachusetts
02052,MEDFIELD,42.184525,-71.304813,10531,MA,Massachusetts
02053,MEDWAY,42.151363,-71.421715,9902,MA,Massachusetts
02054,MILLIS,42.166938,-71.360693,7613,MA,Massachusetts
02056,NORFOLK,42.117746,-71.326934,9259,MA,Massachusetts
02061,NORWELL,42.159574,-70.82172,9279,MA,Massachusetts
02062,NORWOOD,42.186843,-71.203313,28700,MA,Massachusetts
02066,SCITUATE,42.203235,-70.752476,16535,MA,Massachusetts
02067,SHARON,42.109388,-71.175872,15873,MA,Massachusetts
02071,SOUTH WALPOLE,42.099203,-71.275235,752,MA,Massachusetts
02072,STOUGHTON,42.125279,-71.107357,26777,MA,Massachusetts
02081,WALPOLE,42.144413,-71.254391,15615,MA,Massachusetts
02090,WESTWOOD,42.214824,-71.210426,12557,MA,Massachusetts
02093,WRENTHAM,42.061746,-71.339568,9006,MA,Massachusetts
02108,BOSTON,42.357603,-71.068432,3697,MA,Massachusetts
02109,BOSTON,42.362963,-71.053386,3926,MA,Massachusetts
02110,BOSTON,42.357636,-71.051417,957,MA,Massachusetts
02111,BOSTON,42.350348,-71.0629,3759,MA,Massachusetts
02113,BOSTON,42.365656,-71.055958,6698,MA,Massachusetts
02114,BOSTON,42.361111,-71.06823,10246,MA,Massachusetts
02115,BOSTON,42.342706,-71.092215,25597,MA,Massachusetts
02116,BOSTON,42.349201,-71.076798,17459,MA,Massachusetts
02118,ROXBURY,42.340154,-71.075627,21914,MA,Massachusetts
02119,ROXBURY,42.322414,-71.086923,25207,MA,Massachusetts
02120,ROXBURY,42.332844,-71.097978,14212,MA,Massachusetts
02121,DORCHESTER,42.307503,-71.08305,25602,MA,Massachusetts
02122,DORCHESTER,42.297278,-71.058304,21266,MA,Massachusetts
02124,DORCHESTER,42.287984,-71.072898,48560,MA,Massachusetts
02125,DORCHESTER,42.315305,-71.061924,31393,MA,Massachusetts
02126,MATTAPAN,42.273889,-71.093871,27808,MA,Massachusetts
02127,SOUTH BOSTON,42.333454,-71.043792,29170,MA,Massachusetts
02128,EAST BOSTON,42.378137,-71.028682,32941,MA,Massachusetts
02129,CHARLESTOWN,42.377815,-71.062715,14775,MA,Massachusetts
02130,JAMAICA PLAIN,42.312596,-71.111495,36571,MA,Massachusetts
02131,ROSLINDALE,42.283615,-71.129543,32677,MA,Massachusetts
02132,WEST ROXBURY,42.27868,-71.158868,26366,MA,Massachusetts
02134,ALLSTON,42.353519,-71.132866,23775,MA,Massachusetts
02135,BRIGHTON,42.34779,-71.156599,35011,MA,Massachusetts
02136,HYDE PARK,42.253989,-71.126052,24260,MA,Massachusetts
02138,CAMBRIDGE,42.377045,-71.125611,33841,MA,Massachusetts
02139,CAMBRIDGE,42.364688,-71.104155,33149,MA,Massachusetts
02140,NORTH CAMBRIDGE,42.391366,-71.129379,16313,MA,Massachusetts
02141,EAST CAMBRIDGE,42.370701,-71.088277,10392,MA,Massachusetts
02142,CAMBRIDGE,42.362025,-71.083011,1336,MA,Massachusetts
02143,SOMERVILLE,42.382945,-71.102814,25597,MA,Massachusetts
02144,SOMERVILLE,42.40032,-71.122059,26374,MA,Massachusetts
02145,SOMERVILLE,42.390678,-71.092944,24422,MA,Massachusetts
02146,BROOKLINE,42.339158,-71.128917,56614,MA,Massachusetts
02148,MALDEN,42.42911,-71.060507,54114,MA,Massachusetts
02149,EVERETT,42.411199,-71.051448,35493,MA,Massachusetts
02150,CHELSEA,42.396252,-71.032521,28790,MA,Massachusetts
02151,REVERE,42.413767,-71.005165,42766,MA,Massachusetts
02152,WINTHROP,42.376294,-70.980043,18907,MA,Massachusetts
02154,NORTH WALTHAM,42.382492,-71.236497,57871,MA,Massachusetts
02155,MEDFORD,42.417335,-71.108686,57338,MA,Massachusetts
02158,NEWTONVILLE,42.353835,-71.1902,13271,MA,Massachusetts
02159,NEWTON CENTER,42.318889,-71.191839,18726,MA,Massachusetts
02160,NEWTONVILLE,42.351961,-71.208771,8872,MA,Massachusetts
02161,NEWTON HIGHLANDS,42.318512,-71.209347,6657,MA,Massachusetts
02162,NEWTONVILLE,42.330296,-71.258025,1427,MA,Massachusetts
02163,CAMBRIDGE,42.364005,-71.141879,0,MA,Massachusetts
02164,NEWTON UPPER FAL,42.312562,-71.221615,2597,MA,Massachusetts
02165,NEWTONVILLE,42.352366,-71.22795,12027,MA,Massachusetts
02166,AUBURNDALE,42.345928,-71.247598,6123,MA,Massachusetts
02167,BOSTON COLLEGE,42.31903,-71.16272,15619,MA,Massachusetts
02168,WABAN,42.327049,-71.230703,5759,MA,Massachusetts
02169,QUINCY,42.249133,-70.997816,48920,MA,Massachusetts
02170,QUINCY,42.26713,-71.018644,18330,MA,Massachusetts
02171,QUINCY,42.282519,-71.024141,18251,MA,Massachusetts
02172,EAST WATERTOWN,42.371497,-71.180266,33930,MA,Massachusetts
02173,LEXINGTON,42.445384,-71.225916,28994,MA,Massachusetts
02174,ARLINGTON,42.417098,-71.162517,44539,MA,Massachusetts
02176,MELROSE,42.458066,-71.063191,28228,MA,Massachusetts
02178,BELMONT,42.389656,-71.174647,24733,MA,Massachusetts
02180,STONEHAM,42.482778,-71.0978,22147,MA,Massachusetts
02181,WELLESLEY,42.305593,-71.287966,26615,MA,Massachusetts
02184,BRAINTREE,42.209284,-70.996304,33836,MA,Massachusetts
02186,MILTON,42.253663,-71.077051,25558,MA,Massachusetts
02188,WEYMOUTH,42.211327,-70.958248,13187,MA,Massachusetts
02189,WEYMOUTH,42.211606,-70.931671,14055,MA,Massachusetts
02190,WEYMOUTH,42.172817,-70.94869,17668,MA,Massachusetts
02191,WEYMOUTH,42.243564,-70.944318,9153,MA,Massachusetts
02192,NEEDHAM,42.278908,-71.235172,19570,MA,Massachusetts
